Address,Latitude,Longitude
"150 Woodville Rd, MERRYLANDS NSW 2160",-33.8382125,150.9997458
"1 Bannister Drive, LAKE HAVEN NSW 2263",-33.24338520000001,151.5065393
"87-91 ROBERTS RD, GREENACRE NSW 2190",-33.9047503,151.0647625
"136-138 Adelaide St, RAYMOND TERRACE NSW 2324",-32.7654088,151.742446
"115 Fairford Rd, Padstow NSW 2211",-33.94332980000001,151.0344991
"2893 Nelson Bay Rd, SALT ASH NSW 2318",-32.7866849,151.9335494
"1344 Princes Hwy, HEATHCOTE NSW 2233",-34.0882503,151.0075111
"2072 Camden Valley Way, EDMONDSON PARK NSW 2174",-33.9558559,150.8648944
"M4 Motorway Eastbound , Eastern Creek NSW 2766",-33.7966292,150.8487996
"M4 Motorway westbound, EASTERN CREEK NSW 2766",-33.7966292,150.8487996
"36 Great Western Highway, MOUNT VICTORIA NSW 2786",-33.5842853,150.2462442
"603-611 Anzac Pde, KINGSFORD NSW 2032",-33.9343754,151.2371643
"572 Pacific Hwy, Chatswood NSW 2067",-33.8036903,151.1788558
"1403 Princes Hwy, Heathcote NSW 2233",-34.0904299,151.0039326
"176 Warringah Rd, BEACON HILL NSW 2100",-33.7538069,151.2603894
"4949 New England Hwy, McDougalls Hill NSW 2330",-32.5455442,151.149136
"The Entrance, FORRESTERS BEACH NSW 2260",-33.4059301,151.4648999
"40 MAITLAND RD, SINGLETON NSW 2330",-32.5732964,151.183038
"289 Cessnock Road, Abermain NSW 2326",-32.8112882,151.4260359
"358 Hoxton Park Road, HOXTON PARK NSW 2171",-33.9281657,150.8810856
"128 Barker Street, Randwick NSW 2031",-33.9208306,151.2356769
"338-340 Hume Highway, Liverpool NSW 2170",-33.9316354,150.9176078
"19 Davies Road, Padstow NSW 2211",-33.948635,151.0378589
"877-879 Pacific Hwy, Chatswood NSW 2067",-33.7918124,151.1804678
"48-56 Gardeners Road, Kingsford NSW 2032",-33.92489570000001,151.2258145
"54 Alison Road, Randwick NSW 2031",-33.9081582,151.2342223
"Frenchmans Rd & Clovelly Rd, Randwick NSW 2031",-33.9083455,151.2476648
"184 Liverpool Road, Enfield NSW 2136",-33.8872235,151.097792
"1355 Princess Hwy (Cnr Oliver Rd), Heathcote NSW 2233",-34.087798,151.0070216
"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",-34.0502308,151.1486043
"485 Sydney Road, Balgowlah NSW 2093",-33.7954081,151.255949
"1/3 Haldon St, Lakemba NSW 2195",-33.917934,151.0763428
"101 Hector St, SEFTON NSW 2162",-33.8841323,151.0070545
"450 Great Western Hw, Faulconbridge NSW 2776",-33.6942803,150.5478886
"2355 Camden Valley Way (Corner Beech Road), Casula NSW 2170",-33.95710800000001,150.8829261
"575-585 Liverpool Road, Strathfield South NSW 2136",-33.8874527,151.0741568
"184-186 The Entrance Rd & Gosford Ave, Long Jetty NSW 2261",-33.3509529,151.4925179
"272-278 Woodville Road, Guildford NSW 2161",-33.8480021,150.9967121
